Name,Role,playerId,"last_name, first_name"
Luis Rengifo,2,19858,"Rengifo, Luis"
Willie Calhoun,4,17838,"Calhoun, Willie"
Kyle Tucker,2,18345,"Tucker, Kyle"
Abraham Toro,6,19844,"Toro, Abraham"
Davis Schneider,7,23565,"Schneider, Davis"
Bo Bichette,4,19612,"Bichette, Bo"
Isiah Kiner-Falefa,1,16512,"Kiner-Falefa, Isiah"
Justin Turner,7,5235,"Turner, Justin"
Danny Jansen,7,16535,"Jansen, Danny"
Travis d'Arnaud,6,7739,"d'Arnaud, Travis"
Adam Duvall,6,10950,"Duvall, Adam"
Ozzie Albies,2,16556,"Albies, Ozzie"
Austin Riley,3,18360,"Riley, Austin"
Eddie Rosario,9,12155,"Rosario, Eddie"
Jake Bauers,5,15194,"Bauers, Jake"
Christian Yelich,3,11477,"Yelich, Christian"
Blake Perkins,9,19921,"Perkins, Blake"
Tommy Pham,7,2967,"Pham, Tommy"
Michael Siani,9,22557,"Siani, Michael"
Mike Tauchman,4,15274,"Tauchman, Mike"
Christopher Morel,3,21897,"Morel, Christopher"
Christian Walker,4,13419,"Walker, Christian"
Gabriel Moreno,6,22664,"Moreno, Gabriel"
Ketel Marte,2,13613,"Marte, Ketel"
Enrique Hernández,8,10472,Enrique Hernández
Andy Pages,5,24816,"Pages, Andy"
Amed Rosario,7,15518,"Rosario, Amed"
Mark Canha,7,11445,"Canha, Mark"
Patrick Bailey,5,27478,"Bailey, Patrick"
Jorge Soler,1,14221,"Soler, Jorge"
David Fry,5,24934,"Fry, David"
Tyler Freeman,7,22532,"Freeman, Tyler"
Justin Turner,7,5235,"Turner, Justin"
Mitch Garver,5,15161,"Garver, Mitch"
Dylan Moore,9,18042,"Moore, Dylan"
J.P. Crawford,1,15491,"Crawford, J.P."
Ty France,7,17982,"France, Ty"
Nick Gordon,6,16337,"Gordon, Nick"
Jazz Chisholm Jr.,6,20454,"Chisholm Jr., Jazz"
Luis Arraez,1,18568,"Arraez, Luis"
Bryan De La Cruz,5,19600,"De La Cruz, Bryan"
Josh Bell,4,13145,"Bell, Josh"
Jesse Winker,6,13590,"Winker, Jesse"
Harrison Bader,9,18030,"Bader, Harrison"
Ildemaro Vargas,8,13324,"Vargas, Ildemaro"
Joey Meneses,4,14366,"Meneses, Joey"
Eddie Rosario,9,12155,"Rosario, Eddie"
Jesse Winker,6,13590,"Winker, Jesse"
Lane Thomas,5,16939,"Thomas, Lane"
Nick Senzel,6,19293,"Senzel, Nick"
Eloy Jiménez,5,17484,Eloy Jiménez
Jordan Westburg,5,27815,"Westburg, Jordan"
Luis Campusano,8,22217,"Campusano, Luis"
Fernando Tatis Jr.,2,19709,"Tatis Jr., Fernando"
Ha-Seong Kim,8,27506,"Kim, Ha-Seong"
Michael A. Taylor,9,11489,"A. Taylor, Michael"
Connor Joe,3,16572,"Joe, Connor"
Nick Gonzales,5,27490,"Gonzales, Nick"
Andrew McCutchen,1,9847,"McCutchen, Andrew"
Ke'Bryan Hayes,6,18577,"Hayes, Ke'Bryan"
Jack Suwinski,8,22244,"Suwinski, Jack"
Jonah Heim,8,16930,"Heim, Jonah"
José Caballero,7,23401,José Caballero
Ben Rortvedt,8,20287,"Rortvedt, Ben"
Richie Palacios,6,24589,"Palacios, Richie"
Amed Rosario,9,15518,"Rosario, Amed"
Isaac Paredes,5,20036,"Paredes, Isaac"
Randy Arozarena,2,19290,"Arozarena, Randy"
Rob Refsnyder,3,13770,"Refsnyder, Rob"
Danny Jansen,7,16535,"Jansen, Danny"
Dominic Smith,8,15653,"Smith, Dominic"
Amed Rosario,9,15518,"Rosario, Amed"
Will Benson,9,21853,"Benson, Will"
Jeimer Candelario,6,13621,"Candelario, Jeimer"
Elías Díaz,4,11680,Elías Díaz
Maikel Garcia,1,22715,"Garcia, Maikel"
Hunter Renfroe,5,15464,"Renfroe, Hunter"
Javier Báez,8,12979,Javier Báez
Wenceel Pérez,1,22857,Wenceel Pérez
Gio Urshela,7,10681,"Urshela, Gio"
Mark Canha,7,11445,"Canha, Mark"
Jose Miranda,4,20538,"Miranda, Jose"
Manuel Margot,1,14712,"Margot, Manuel"
Carlos Correa,2,14162,"Correa, Carlos"
Byron Buxton,5,14161,"Buxton, Byron"
Nick Senzel,6,19293,"Senzel, Nick"
Paul DeJong,7,18015,"DeJong, Paul"
Eloy Jiménez,5,17484,Eloy Jiménez
Tommy Pham,7,2967,"Pham, Tommy"
Jazz Chisholm Jr.,6,20454,"Chisholm Jr., Jazz"
Anthony Rizzo,6,3473,"Rizzo, Anthony"
